product_id,original_product_id,name,category,department,base_price,unit_cost,initial_inventory,base_daily_demand,self_elasticity
0,995242,FLUID MILK PRODUCTS (Private),FLUID MILK PRODUCTS,GROCERY,1.89,0.95,1846,10.1,-3.71
1,988693,ICE CREAM/MILK/SHERBTS (Private),ICE CREAM/MILK/SHERBTS,GROCERY,1.99,0.95,132,0.7,-2.69
2,1027068,COLD CEREAL (National),COLD CEREAL,GROCERY,2.44,1.42,127,0.7,-2.48
3,960732,COLD CEREAL (National),COLD CEREAL,GROCERY,3.19,1.9,104,0.6,-2.18
4,1071342,COLD CEREAL (National),COLD CEREAL,GROCERY,3.19,1.42,78,0.4,-3.31
5,935284,FROZEN PIZZA (National),FROZEN PIZZA,GROCERY,1.0,0.7,312,1.7,-1.88
6,915874,ICE CREAM/MILK/SHERBTS (National),ICE CREAM/MILK/SHERBTS,GROCERY,2.59,0.95,50,0.2,-1.81
7,1127624,FROZEN PIZZA (National),FROZEN PIZZA,GROCERY,1.0,0.7,408,2.2,-2.59
8,1079228,BAG SNACKS (National),BAG SNACKS,GROCERY,1.15,0.01,140,0.8,-0.1
9,5568378,BAG SNACKS (National),BAG SNACKS,GROCERY,2.75,1.68,496,2.7,-2.49
10,897752,BAG SNACKS (National),BAG SNACKS,GROCERY,1.15,0.01,153,0.8,-0.19
11,950557,YOGURT (National),YOGURT,GROCERY,0.79,0.38,78,0.4,-1.71
12,870780,YOGURT (National),YOGURT,GROCERY,0.79,0.47,163,0.9,-2.18
13,1055853,YOGURT (National),YOGURT,GROCERY,0.79,0.38,140,0.8,-1.69
14,925626,FROZEN PIZZA (National),FROZEN PIZZA,GROCERY,1.0,0.7,517,2.8,-2.03
15,1053690,SOFT DRINKS (National),SOFT DRINKS,GROCERY,1.59,0.84,715,3.9,-2.49
16,1029743,FLUID MILK PRODUCTS (Private),FLUID MILK PRODUCTS,GROCERY,2.52,1.59,2600,14.3,-1.33
17,1133018,FLUID MILK PRODUCTS (Private),FLUID MILK PRODUCTS,GROCERY,1.89,0.95,1040,5.7,-3.85
18,981760,EGGS (Private),EGGS,GROCERY,1.19,0.75,1924,10.6,-1.68
19,840361,EGGS (Private),EGGS,GROCERY,1.09,0.75,1313,7.2,-0.99
20,844165,SOFT DRINKS (National),SOFT DRINKS,GROCERY,1.79,0.84,332,1.8,-2.82
21,923746,EGGS (Private),EGGS,GROCERY,1.57,0.95,964,5.3,-2.38
22,854042,ICE CREAM/MILK/SHERBTS (Private),ICE CREAM/MILK/SHERBTS,GROCERY,2.99,0.95,54,0.3,-2.0
23,826249,BAKED BREAD/BUNS/ROLLS (Private),BAKED BREAD/BUNS/ROLLS,GROCERY,0.99,0.69,1331,7.3,-2.38
24,5569230,SOFT DRINKS (National),SOFT DRINKS,GROCERY,4.69,2.38,634,3.5,-3.28
25,1096036,CHEESE (Private),CHEESE,GROCERY,1.72,1.13,655,3.6,-3.26
26,859075,CHEESE (Private),CHEESE,GROCERY,1.78,1.19,883,4.9,-2.99
27,883404,BAKED BREAD/BUNS/ROLLS (Private),BAKED BREAD/BUNS/ROLLS,GROCERY,0.99,0.69,1903,10.5,-1.25
28,1098066,BAKED BREAD/BUNS/ROLLS (Private),BAKED BREAD/BUNS/ROLLS,GROCERY,0.99,0.69,1071,5.9,-3.74
29,914190,CHEESE (National),CHEESE,GROCERY,1.99,0.94,377,2.1,-3.02
30,916122,CHICKEN (National),CHICKEN,MEAT,8.21,2.55,780,4.3,-2.62
31,863447,BEEF (National),BEEF,MEAT,7.72,3.02,135,0.7,-2.76
32,844179,BEEF (National),BEEF,MEAT,4.38,2.18,468,2.6,-2.47
33,1044078,BEEF (National),BEEF,MEAT,3.81,1.69,616,3.4,-3.68
34,897954,CHICKEN (National),CHICKEN,MEAT,6.02,1.7,182,1.0,-1.38
35,985999,CHICKEN (National),CHICKEN,MEAT,6.44,2.4,96,0.5,-3.26
36,982790,LUNCHMEAT (National),LUNCHMEAT,MEAT-PCKGD,2.99,0.95,109,0.6,-2.49
37,1027168,LUNCHMEAT (National),LUNCHMEAT,MEAT-PCKGD,3.49,1.66,174,1.0,-2.24
38,1092937,LUNCHMEAT (National),LUNCHMEAT,MEAT-PCKGD,3.29,1.56,80,0.4,-3.25
39,1082185,TROPICAL FRUIT (National),TROPICAL FRUIT,PRODUCE,0.99,0.33,7451,40.9,-0.59
40,1028816,TROPICAL FRUIT (National),TROPICAL FRUIT,PRODUCE,1.29,0.9,699,3.8,-0.1
41,968215,TROPICAL FRUIT (National),TROPICAL FRUIT,PRODUCE,0.4,0.24,676,3.7,-0.23
42,1127831,BERRIES (National),BERRIES,PRODUCE,2.99,1.42,925,5.1,-2.06
43,5578547,BERRIES (National),BERRIES,PRODUCE,2.99,1.9,143,0.8,-1.16
44,903800,BERRIES (National),BERRIES,PRODUCE,2.99,2.09,137,0.8,-0.1
