day,day_of_week,discount_p0,discount_p1,discount_p2,discount_p3,discount_p4,discount_p5,discount_p6,discount_p7,discount_p8,discount_p9,discount_p10,discount_p11,discount_p12,discount_p13,discount_p14,units_sold_p0,units_sold_p1,units_sold_p2,units_sold_p3,units_sold_p4,units_sold_p5,units_sold_p6,units_sold_p7,units_sold_p8,units_sold_p9,units_sold_p10,units_sold_p11,units_sold_p12,units_sold_p13,units_sold_p14,inventory_p0,inventory_p1,inventory_p2,inventory_p3,inventory_p4,inventory_p5,inventory_p6,inventory_p7,inventory_p8,inventory_p9,inventory_p10,inventory_p11,inventory_p12,inventory_p13,inventory_p14,revenue_p0,revenue_p1,revenue_p2,revenue_p3,revenue_p4,revenue_p5,revenue_p6,revenue_p7,revenue_p8,revenue_p9,revenue_p10,revenue_p11,revenue_p12,revenue_p13,revenue_p14,discount_cost_p0,discount_cost_p1,discount_cost_p2,discount_cost_p3,discount_cost_p4,discount_cost_p5,discount_cost_p6,discount_cost_p7,discount_cost_p8,discount_cost_p9,discount_cost_p10,discount_cost_p11,discount_cost_p12,discount_cost_p13,discount_cost_p14,total_revenue,total_margin,total_discount_cost,budget_remaining,time_remaining,reward
0,0,0.0,0.3,0.3,0.2,0.2,0.5,0.0,0.3,0.1,0.0,0.2,0.5,0.3,0.3,0.3,0,15,8,3,3,17,0,11,1,5,7,32,9,7,11,200,165,142,217,197,163,100,139,119,75,93,188,241,153,129,0.0,52.5,33.599999999999994,13.200000000000001,9.600000000000001,29.75,0.0,61.599999999999994,8.55,75.0,67.20000000000002,96.0,25.2,34.3,65.44999999999999,0.0,22.5,14.400000000000006,3.299999999999999,2.3999999999999995,29.75,0.0,26.400000000000006,0.9499999999999993,0.0,16.79999999999999,96.0,10.8,14.700000000000003,28.050000000000008,571.95,174.85000000000002,266.05,2733.95,29,174.85000000000002
1,1,0.3,0.2,0.0,0.5,0.2,0.2,0.1,0.0,0.5,0.3,0.3,0.2,0.5,0.2,0.2,4,2,0,15,3,0,4,1,32,20,13,3,17,0,2,196,163,142,202,194,163,96,138,87,55,80,185,224,153,127,12.6,8.0,0.0,41.25,9.600000000000001,0.0,43.2,8.0,152.0,210.0,109.19999999999999,14.400000000000002,34.0,0.0,13.600000000000001,5.4,2.0,0.0,41.25,2.3999999999999995,0.0,4.799999999999997,0.0,152.0,90.0,46.80000000000002,3.599999999999998,34.0,0.0,3.3999999999999986,655.8499999999999,124.44999999999999,385.65000000000003,2348.2999999999997,28,124.44999999999999
2,2,0.2,0.1,0.0,0.2,0.5,0.0,0.5,0.5,0.1,0.3,0.0,0.3,0.3,0.1,0.0,5,2,1,0,14,0,35,20,1,19,1,8,3,0,0,191,161,141,202,180,163,61,118,86,36,79,177,221,153,127,18.0,9.0,6.0,0.0,28.0,0.0,210.0,80.0,8.55,199.5,12.0,33.599999999999994,8.399999999999999,0.0,0.0,4.5,1.0,0.0,0.0,28.0,0.0,210.0,80.0,0.9499999999999993,85.5,0.0,14.400000000000006,3.6000000000000005,0.0,0.0,613.05,49.14999999999999,427.95000000000005,1920.3499999999997,27,49.14999999999999
3,3,0.5,0.2,0.5,0.3,0.3,0.3,0.0,0.1,0.2,0.2,0.0,0.2,0.0,0.3,0.3,22,6,32,9,8,7,1,1,6,17,0,7,0,10,6,169,155,109,193,172,156,60,117,80,19,79,170,221,143,121,49.5,24.0,96.0,34.65,22.4,17.15,12.0,7.2,45.6,204.0,0.0,33.60000000000001,0.0,48.99999999999999,35.699999999999996,49.5,6.0,96.0,14.850000000000003,9.600000000000001,7.350000000000001,0.0,0.7999999999999998,11.399999999999997,51.0,0.0,8.399999999999995,0.0,21.000000000000007,15.300000000000004,630.8000000000001,179.0,291.20000000000005,1629.1499999999996,26,179.0
4,4,0.5,0.3,0.1,0.5,0.2,0.1,0.5,0.1,0.0,0.2,0.3,0.0,0.2,0.0,0.3,27,9,1,31,0,0,52,0,0,11,21,1,3,0,15,142,146,108,162,172,156,8,117,80,8,58,169,218,143,106,60.75,31.5,5.4,85.25,0.0,0.0,312.0,0.0,0.0,132.0,176.39999999999998,6.0,9.600000000000001,0.0,89.24999999999999,60.75,13.5,0.5999999999999996,85.25,0.0,0.0,312.0,0.0,0.0,33.0,75.60000000000002,0.0,2.3999999999999995,0.0,38.250000000000014,908.15,104.84999999999997,621.35,1007.7999999999996,25,104.84999999999997
5,5,0.2,0.1,0.1,0.2,0.3,0.5,0.2,0.0,0.5,0.3,0.3,0.0,0.1,0.3,0.5,8,2,7,6,3,10,7,0,54,8,21,0,0,15,56,134,144,101,156,169,146,1,117,26,0,37,169,218,128,50,28.8,9.0,37.800000000000004,26.400000000000002,8.399999999999999,17.5,67.20000000000002,0.0,256.5,84.0,176.39999999999998,0.0,0.0,73.49999999999999,238.0,7.199999999999999,1.0,4.1999999999999975,6.599999999999998,3.6000000000000005,17.5,16.79999999999999,0.0,256.5,36.0,75.60000000000002,0.0,0.0,31.500000000000007,238.0,1023.5,155.39999999999998,694.5,313.2999999999996,24,155.39999999999998
6,6,0.2,0.5,0.5,0.1,0.5,0.1,0.1,0.3,0.3,0.0,0.5,0.0,0.5,0.0,0.3,6,41,40,3,27,3,0,23,20,0,37,2,23,0,29,128,103,61,153,142,143,1,94,6,0,0,167,195,128,21,21.6,102.5,120.0,14.850000000000001,54.0,9.45,0.0,128.79999999999998,133.0,0.0,222.0,12.0,46.0,0.0,172.54999999999998,5.3999999999999995,102.5,120.0,1.6499999999999995,54.0,1.0500000000000003,0.0,55.20000000000001,57.000000000000014,0.0,222.0,0.0,46.0,0.0,73.95000000000002,1036.75,144.54999999999995,738.75,-425.4500000000004,23,144.54999999999995
7,0,0.3,0.3,0.3,0.2,0.3,0.1,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,16,13,15,9,9,1,0,10,5,0,0,1,0,8,3,112,90,46,144,133,142,1,84,1,0,0,166,195,120,18,50.4,45.5,62.999999999999986,39.6,25.2,3.15,0.0,64.0,38.0,0.0,0.0,6.0,0.0,50.4,25.5,21.6,19.5,27.00000000000001,9.899999999999997,10.8,0.3500000000000001,0.0,15.999999999999996,9.499999999999996,0.0,0.0,0.0,0.0,5.600000000000001,0.0,410.75,152.85,120.25,-545.7000000000004,22,152.85
8,1,0.2,0.3,0.3,0.2,0.5,0.2,0.0,0.3,0.2,0.0,0.0,0.2,0.0,0.2,0.3,6,12,18,6,38,3,0,11,0,0,0,9,0,13,17,106,78,28,138,95,139,1,73,1,0,0,157,195,107,1,21.6,42.0,75.6,26.400000000000002,76.0,8.4,0.0,61.599999999999994,0.0,0.0,0.0,43.2,0.0,72.80000000000001,101.14999999999999,5.3999999999999995,18.0,32.40000000000001,6.599999999999998,76.0,2.099999999999999,0.0,26.400000000000006,0.0,0.0,0.0,10.799999999999994,0.0,18.199999999999992,43.35000000000001,528.75,173.45,239.25,-784.9500000000004,21,173.45
9,2,0.1,0.3,0.0,0.1,0.2,0.5,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.5,0.0,4,15,2,3,3,34,0,4,0,0,0,1,3,43,0,102,63,26,135,92,105,1,69,1,0,0,156,192,64,1,16.2,52.5,12.0,14.850000000000001,9.600000000000001,59.5,0.0,28.8,0.0,0.0,0.0,6.0,10.8,150.5,0.0,1.8000000000000007,22.5,0.0,1.6499999999999995,2.3999999999999995,59.5,0.0,3.1999999999999993,0.0,0.0,0.0,0.0,1.1999999999999997,150.5,0.0,360.75,80.75000000000001,242.75,-1027.7000000000003,20,80.75000000000001
